Day ,Cases (Cumulative),Deaths (Cumulative),,,,
4/15/09,1,0,,,,
4/16/09,1,0,,,,
4/17/09,2,0,,,,
4/18/09,2,0,,,,
4/19/09,3,0,,,,
4/20/09,3,0,,,,
4/21/09,4,0,,,,
4/22/09,5,0,,,,
4/23/09,6,0,,,,
4/24/09,7,0,,,,
4/25/09,12,0,,,,
4/26/09,20,0,,,,
4/27/09,40,0,,,,
4/28/09,64,0,,,,
4/29/09,91,1,,,,
4/30/09,109,1,,,,
5/1/09,141,1,,,,
5/2/09,160,1,,,,
5/3/09,226,1,,,,
5/4/09,286,1,,,,
5/5/09,403,1,,,,
5/6/09,642,2,,,,
5/7/09,896,2,,,,
5/8/09,896,2,,,,
5/9/09,1639,2,,,,
5/10/09,2254,2,,,,
5/11/09,2532,3,,,,
5/12/09,2600,3,,,,
5/13/09,3009,3,,,,
5/14/09,3352,3,,,,
5/15/09,4298,3,,,,
5/16/09,4714,4,,,,
5/17/09,4714,4,,,,
5/18/09,4714,4,,,,
5/19/09,5123,5,,,,
5/20/09,5469,6,,,,
5/21/09,5710,8,,,,
5/22/09,5764,9,,,,
5/23/09,6552,9,,,,
5/24/09,6552,9,,,,
5/25/09,6552,9,,,,
5/26/09,6764,10,,,,
5/27/09,6764,10,,,,
5/28/09,7322,11,,,,
5/29/09,7927,12,,,,
5/30/09,8259,13,,,,
5/31/09,8605,14,,,,
6/1/09,8965,15,,,,
6/2/09,9493,16,,,,
6/3/09,10053,17,,,,
6/4/09,10542,19,,,,
6/5/09,11054,20,,,,
6/6/09,11733,22,,,,
6/7/09,12453,24,,,,
6/8/09,13217,26,,,,
6/9/09,13217,28,,,,
6/10/09,13217,30,,,,
6/11/09,13217,33,,,,
6/12/09,13217,35,,,,
6/13/09,14611,38,,,,
6/14/09,16152,41,,,,
6/15/09,17855,44,,,,
6/16/09,17855,44,,,,
6/17/09,17855,49,,,,
6/18/09,17855,53,,,,
6/19/09,17855,58,,,,
6/20/09,18981,63,,,,
6/21/09,20177,68,,,,
6/22/09,21449,73,,,,
6/23/09,21449,80,,,,
6/24/09,21449,86,,,,
6/25/09,21449,93,,,,
6/26/09,21449,101,,,,
6/27/09,23363,110,,,,
6/28/09,25447,119,,,,
6/29/09,27717,129,,,,
6/30/09,27717,139,,,,
7/1/09,27717,151,,,,
7/2/09,30654,164,,,,
7/3/09,33902,177,,,,
7/4/09,33902,170,,,,
7/5/09,33902,170,,,,
7/6/09,33902,170,,,,
7/7/09,44177,181,,,,
7/8/09,57566,194,,,,
7/9/09,75012,207,,,,
7/10/09,97746,221,,,,
7/11/09,127371,236,,,,
7/12/09,165973,252,,,,
7/13/09,216275,269,,,,
7/14/09,281822,287,,,,
7/15/09,367235,306,,,,
7/16/09,478534,327,,,,
7/17/09,623565,349,,,,
7/18/09,812550,372,,,,
7/19/09,1058812,397,,,,
7/20/09,1379709,424,,,,
7/21/09,1797862,453,,,,
7/22/09,2342745,483,,,,
7/23/09,3052768,509,,,,
7/24/09,3086031,515,,,,
7/25/09,3119657,522,,,,
7/26/09,3153649,528,,,,
7/27/09,3188012,535,,,,
7/28/09,3222749,541,,,,
7/29/09,3257865,548,,,,
7/30/09,3293363,555,,,,
7/31/09,3329248,562,,,,
8/1/09,3365523,568,,,,
8/2/09,3402195,575,,,,
8/3/09,3439265,583,,,,
8/4/09,3476740,590,,,,
8/5/09,3514623,597,,,,
8/6/09,3552919,604,,,,
8/7/09,3591632,612,,,,
8/8/09,3630767,619,,,,
8/9/09,3670328,627,,,,
8/10/09,3710321,635,,,,
8/11/09,3750749,643,,,,
8/12/09,3791618,650,,,,
8/13/09,3832932,658,,,,
8/14/09,3874696,667,,,,
8/15/09,3916915,675,,,,
8/16/09,3959594,683,,,,
8/17/09,4002738,691,,,,
8/18/09,4046353,700,,,,
8/19/09,4090442,709,,,,
8/20/09,4135012,717,,,,
8/21/09,4180068,726,,,,
8/22/09,4225615,735,,,,
8/23/09,4271657,744,,,,
8/24/09,4318202,753,,,,
8/25/09,4365254,763,,,,
8/26/09,4412818,772,,,,
8/27/09,4460901,782,,,,
8/28/09,4509507,791,,,,
8/29/09,4558644,801,,,,
8/30/09,4608315,811,,,,
8/31/09,4658528,821,,,,
9/1/09,4712761,831,,,,
9/2/09,4767625,841,,,,
9/3/09,4823128,852,,,,
9/4/09,4879277,862,,,,
9/5/09,4936079,873,,,,
9/6/09,4993543,883,,,,
9/7/09,5051676,894,,,,
9/8/09,5110486,905,,,,
9/9/09,5169980,916,,,,
9/10/09,5230167,928,,,,
9/11/09,5291055,939,,,,
9/12/09,5352651,951,,,,
9/13/09,5414965,962,,,,
9/14/09,5478004,974,,,,
9/15/09,5541777,986,,,,
9/16/09,5606292,998,,,,
9/17/09,5671558,1011,,,,
9/18/09,5737584,1023,,,,
9/19/09,5804379,1036,,,,
9/20/09,5871951,1049,,,,
9/21/09,5940310,1061,,,,
9/22/09,6009465,1075,,,,
9/23/09,6079425,1088,,,,
9/24/09,6150199,1101,,,,
9/25/09,6221798,1115,,,,
9/26/09,6294229,1129,,,,
9/27/09,6367504,1142,,,,
9/28/09,6441632,1156,,,,
9/29/09,6516623,1171,,,,
9/30/09,6592487,1185,,,,
10/1/09,6669235,1200,,,,
10/2/09,6746875,1215,,,,
10/3/09,6825420,1230,,,,
10/4/09,6904879,1245,,,,
10/5/09,6985263,1260,,,,
10/6/09,7066582,1276,,,,
10/7/09,7148849,1291,,,,
10/8/09,7232073,1307,,,,
10/9/09,7316266,1323,,,,
10/10/09,7401439,1340,,,,
10/11/09,7487604,1356,,,,
10/12/09,7574772,1373,,,,
10/13/09,7662954,1390,,,,
10/14/09,7752163,1407,,,,
10/15/09,7842411,1424,,,,
10/16/09,7933709,1442,,,,
10/17/09,8026071,1459,,,,
10/18/09,8119507,1477,,,,
10/19/09,8214031,1496,,,,
10/20/09,8309656,1514,,,,
10/21/09,8406394,1533,,,,
10/22/09,8504258,1552,,,,
10/23/09,8603261,1571,,,,
10/24/09,8703417,1590,,,,
10/25/09,8804739,1610,,,,
10/26/09,8907240,1629,,,,
10/27/09,9010935,1650,,,,
10/28/09,9115837,1670,,,,
10/29/09,9221960,1690,,,,
10/30/09,9329318,1711,,,,
10/31/09,9437927,1732,,,,
11/1/09,9547799,1754,,,,
11/2/09,9658951,1775,,,,
11/3/09,9771397,1797,,,,
11/4/09,9885152,1819,,,,
11/5/09,10000231,1842,,,,
11/6/09,10116650,1864,,,,
11/7/09,10234424,1887,,,,
11/8/09,10353569,1911,,,,
11/9/09,10474101,1934,,,,
11/10/09,10596037,1958,,,,
11/11/09,10719392,1982,,,,
11/12/09,10844183,2007,,,,
11/13/09,10970427,2031,,,,
11/14/09,11098140,2056,,,,
11/15/09,11227340,2082,,,,
11/16/09,11358045,2107,,,,
11/17/09,11490271,2133,,,,
11/18/09,11624036,2159,,,,
11/19/09,11759359,2186,,,,
11/20/09,11896257,2213,,,,
11/21/09,12034748,2240,,,,
11/22/09,12174852,2268,,,,
11/23/09,12316587,2296,,,,
11/24/09,12459972,2324,,,,
11/25/09,12605026,2353,,,,
11/26/09,12751769,2382,,,,
11/27/09,12900220,2411,,,,
11/28/09,13050400,2441,,,,
11/29/09,13202328,2471,,,,
11/30/09,13356024,2501,,,,
12/1/09,13511510,2532,,,,
12/2/09,13668805,2563,,,,
12/3/09,13827932,2595,,,,
12/4/09,13988912,2627,,,,
12/5/09,14151765,2659,,,,
12/6/09,14316515,2692,,,,
12/7/09,14483182,2725,,,,
12/8/09,14651790,2759,,,,
12/9/09,14822360,2793,,,,
12/10/09,14994917,2827,,,,
12/11/09,15169482,2862,,,,
12/12/09,15346079,2897,,,,
12/13/09,15524732,2933,,,,
12/14/09,15705465,2969,,,,
12/15/09,15888302,3006,,,,
12/16/09,16073268,3043,,,,
12/17/09,16260386,3080,,,,
12/18/09,16449684,3118,,,,
12/19/09,16641184,3157,,,,
12/20/09,16834915,3195,,,,
12/21/09,17030900,3235,,,,
12/22/09,17229167,3275,,,,
12/23/09,17429743,3315,,,,
12/24/09,17632653,3356,,,,
12/25/09,17837926,3397,,,,
12/26/09,18045588,3439,,,,
12/27/09,18255668,3481,,,,
12/28/09,18468193,3524,,,,
12/29/09,18683193,3568,,,,
12/30/09,18900696,3612,,,,
12/31/09,19120730,3656,,,,
